state,2014,2010,2006,2002,1998,1994,1990,1986,1982,1978
Alabama,40.9,42.8,48.4,48.7,51.2,45.8,51,53.1,49.3,46.8
Alaska,49,48.6,52.9,52.6,53.8,59.4,59.2,56.2,58.5,50.9
Arizona,35.7,44.9,40.2,36.8,33.8,41.9,46.2,46.2,43.1,36.9
Arkansas,36.5,39.3,43.9,45.3,42.4,41.7,46.4,47.1,53.1,41.3
California,30.8,39.2,38.4,34.2,40.5,46,42.4,45.3,48.6,47.9
Colorado,55.2,48.4,49.9,45.7,52.1,46.5,50.6,52.7,52,48.2
Connecticut,43,45.9,46.2,44.1,45.4,51.9,49.4,46.7,53.7,54
Delaware,42,48.5,42.6,42.9,36.5,41.4,38.4,38,51.2,49.1
District of Columbia,45.8,40.8,44.6,47.6,45.4,56.1,48.6,42.5,40.5,36.1
Florida,40.4,39.2,38.4,42.5,39,43.5,43.4,46.6,40.9,47.1
Georgia,40,40.2,40.3,40,37.4,35.7,42.3,39.4,38.6,29
Hawaii,38.6,39.9,40.1,41.6,48.1,46.9,51.6,53,54.3,49.9
Idaho,39.1,44.7,49.1,44.7,45,50.7,48.2,64.9,57.4,51.6
Illinois,38.3,41.5,42.2,42.9,44.5,43,48.3,47.3,55,46.9
Indiana,33.5,38.2,44.3,39.9,40,38.7,44.2,49.3,54.9,42.9
Iowa,51.5,50.2,52.4,48.9,51.6,52.5,50.5,48.1,56.4,46.2
Kansas,45.3,45.2,44.3,46.3,40.1,50.7,52.4,53.5,54.3,50.9
Kentucky,45.9,45.5,48,45.4,44.4,34.6,39,34.3,35.7,29.7
Louisiana,48.6,48.8,39.1,49.4,38.3,34.2,51.4,56.7,25.7,37.3
Maine,60.5,58.4,57.5,57,47.9,58.3,64.7,54.6,62.6,59
Maryland,44.7,42.1,51.4,46.6,47.3,46.9,39.4,43.1,47.3,45.4
Massachusetts,42.8,48.1,50,47.5,46.2,51.9,58.8,48.4,53.7,55.9
Michigan,45.1,45.2,54.8,48.3,49.7,52.3,45.4,44.5,54,53.6
Minnesota,49.9,52.8,61.6,64.1,64.2,58.5,62.9,59.3,66.8,64.2
Mississippi,41.6,46.5,42.2,42.5,40.2,44.3,34.7,43.7,51.9,48.5
Missouri,38,44.5,52.6,51.5,45.8,54.6,40.9,46.7,51.2,52.8
Montana,49.7,51.3,59.2,53.4,53.3,60.7,62.7,65.1,61.3,59.8
Nebraska,41.4,38.7,48.9,43.4,45.3,54.4,57.8,54.5,56,52.3
Nevada,32.6,37.3,37.3,37,33.1,40.4,42.5,42.5,41.6,40.7
New Hampshire,48.6,45.9,47,48.9,40.9,41.7,44.3,37.6,49.5,52.7
New Jersey,31.5,36.2,37.1,37.5,35.5,41,41.8,37.3,48.6,41.8
New Mexico,42.1,38.9,50.9,41.5,48.2,47,45.6,47.1,58.1,50.1
New York,30.6,38.4,37.6,38.1,41.4,45.3,41.5,43.8,48.2,46
North Carolina,42.8,43,37.3,42.4,39.4,35.8,49.3,45.2,39,30.9
North Dakota,49.2,54.5,53.4,56.7,57,61.3,60.1,72.7,64.3,59.6
Ohio,38.5,44.2,51.8,42.4,44.6,46.7,48.5,49.1,50.4,45.2
Oklahoma,32.3,39.4,44.9,47.8,40.1,46.9,49.2,48.6,46.5,50.8
Oregon,51.8,53.6,57.1,51.8,47,61.3,53.9,64.7,62.2,53.4
Pennsylvania,38.3,42.6,46.6,41.7,39.2,42.8,42,46.1,48.2,48.4
Rhode Island ,40.4,42.9,53.5,46.3,48.5,51.2,53.4,47.4,55.4,56.2
South Carolina,41.3,49.2,43,45.6,47.1,45.4,42.8,41.3,37.4,36
South Dakota,43.7,53.5,62.1,65.4,50.7,64,57.2,65.5,62.9,62.7
Tennessee,35.4,36.1,43.8,44.3,36.2,43.1,30.5,44,47.2,44.6
Texas,30.2,31.4,33.5,35.2,32.9,37.8,41.4,37.4,39.7,34.3
Utah ,34.7,36,34.4,41.5,39.9,44.2,47.1,49.4,61.1,52.3
Vermont,41.6,54,55.5,52.2,51.6,49,55,58.5,50.1,37
Virginia,39.4,38.4,43.6,34.8,30.1,46.3,37.4,37.5,45.6,42.5
Washington,44.8,52.8,49.4,47.1,45.6,46.5,43.3,48.3,50.3,40.5
West Virginia,33.4,40.9,36.8,36.8,35.9,34,34.7,39.2,47.4,40.6
Wisconsin,53.8,52.6,56,48.5,50.3,49.7,48,51.2,54.2,58.3
Wyoming,39.1,46.1,51.4,53.5,54.3,63.5,53.5,53.5,60,59.7